"id","category","priority","installed","referenced_in_source","reference_count","source_references","missing_dependencies","dependency_status"
"intelligence.cross_vetted_abstracts","Intelligence","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vetted_sources","MISSING"
"intelligence.decision_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.documentation_engine","Intelligence","critical","True","False","0","","","PASS"
"intelligence.file_format_engine","Intelligence","high","True","False","0","","","PASS"
"intelligence.forecasting_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.inventory_engine","Intelligence","critical","True","False","0","","","PASS"
"intelligence.knowledge_graph","Intelligence","critical","True","True","10","C:\Users\user\brianco-backend-clean\src\lumen.mjs ; C:\Users\user\brianco-backend-clean\src\modules\founder\founder-command-center.mjs ; C:\Users\user\brianco-backend-clean\src\modules\graph\knowledge-graph.mjs ; C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\drone-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs ; C:\Users\user\brianco-backend-clean\src\modules\search\search-engine.mjs ; C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","vault ; learning_engine","MISSING"
"intelligence.learning_engine","Intelligence","critical","True","True","4","C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\lumen.mjs ; C:\Users\user\brianco-backend-clean\src\modules\learning\learning-engine.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault ; module_registry","MISSING"
"intelligence.maintenance_engine","Intelligence","critical","True","False","0","","","PASS"
"intelligence.orchestration_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.reasoning_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.recommendation_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.report_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.research","Intelligence","high","True","True","5","C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\drone-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","vault ; knowledge_graph","MISSING"
"intelligence.research_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.risk_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.simulation_engine","intelligence","high","True","False","0","","","PASS"
"intelligence.universal_search","Intelligence","critical","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault ; knowledge_graph","MISSING"
"intelligence.update_engine","Intelligence","critical","True","False","0","","","PASS"
"intelligence.vetted_sources","Intelligence","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault ; learning_engine","MISSING"
"intelligence.workflow_engine","intelligence","high","True","False","0","","","PASS"
"localization.global_holidays","Localization","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","language_dialect","MISSING"
"localization.language_dialect","Localization","critical","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","guided_experience","MISSING"
"media.ai_production_studio","media","high","True","False","0","","","PASS"
"media.caption_studio","media","high","True","False","0","","","PASS"
"media.content_intelligence","media","high","True","False","0","","","PASS"
"media.creator_marketplace","media","high","True","False","0","","","PASS"
"media.gif_generator","media","high","True","False","0","","","PASS"
"media.image_accessibility_alt_text","media","high","True","False","0","","","PASS"
"media.image_context_reader","media","high","True","False","0","","","PASS"
"media.image_safety_review","media","high","True","False","0","","","PASS"
"media.licensing_marketplace","media","high","True","False","0","","","PASS"
"media.meme_generator","media","high","True","False","0","","","PASS"
"media.meme_reader","media","high","True","False","0","","","PASS"
"media.music_platform","media","high","True","False","0","","","PASS"
"media.news_intelligence","media","high","True","False","0","","","PASS"
"media.podcast_platform","media","high","True","False","0","","","PASS"
"media.publishing_platform","media","high","True","False","0","","","PASS"
"media.sponsor_marketplace","media","high","True","False","0","","","PASS"
"media.sticker_generator","media","high","True","False","0","","","PASS"
"media.translation_studio","media","high","True","False","0","","","PASS"
"media.video_platform","media","high","True","False","0","","","PASS"
"media.visual_captioning","media","high","True","False","0","","","PASS"
"media.voice_studio","media","high","True","False","0","","","PASS"
"public.civic_intelligence","public","high","True","False","0","","","PASS"
"public.community_resources","public","high","True","False","0","","","PASS"
"public.disaster_response","public","high","True","False","0","","","PASS"
"public.elections_intelligence","public","high","True","False","0","","","PASS"
"public.emergency_management","public","high","True","False","0","","","PASS"
"public.government_services","public","high","True","False","0","","","PASS"
"public.grant_programs","public","high","True","False","0","","","PASS"
"public.licensing_intelligence","public","high","True","False","0","","","PASS"
"public.municipal_services","public","high","True","False","0","","","PASS"
"public.permit_intelligence","public","high","True","False","0","","","PASS"
"public.public_safety","public","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"public.regulatory_tracking","public","high","True","False","0","","","PASS"
"research.agricultural_science","research","high","True","False","0","","","PASS"
"research.astronomy","research","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","","PASS"
"research.astrophysics","research","high","True","False","0","","","PASS"
"research.biology","research","high","True","False","0","","","PASS"
"research.biomedical_research","research","high","True","False","0","","","PASS"
"research.biotechnology","research","high","True","False","0","","","PASS"
"research.climate_science","research","high","True","False","0","","","PASS"
"research.clinical_research","research","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs","","PASS"
"research.energy_systems","research","high","True","False","0","","","PASS"
"research.environmental_science","research","high","True","False","0","","","PASS"
"research.fusion_research","research","high","True","False","0","","","PASS"
"research.genetic_engineering","research","high","True","False","0","","","PASS"
"research.materials_science","research","high","True","False","0","","","PASS"
"research.neuroscience","research","high","True","False","0","","","PASS"
"research.nuclear_research","research","high","True","False","0","","","PASS"
"research.ocean_science","research","high","True","False","0","","","PASS"
"research.particle_physics","research","high","True","False","0","","","PASS"
"research.pharmaceutical_research","research","high","True","False","0","","","PASS"
"research.psychology","research","high","True","False","0","","","PASS"
"research.semiconductor_research","research","high","True","False","0","","","PASS"
"research.space_research","research","high","True","False","0","","","PASS"
"security.audit_intelligence","security","high","True","False","0","","","PASS"
"security.authentication_intelligence","security","high","True","False","0","","","PASS"
"security.authorization_intelligence","security","high","True","False","0","","","PASS"
"security.compliance_intelligence","security","high","True","False","0","","","PASS"
"security.data_governance","security","high","True","False","0","","","PASS"
"security.digital_forensics","security","high","True","False","0","","","PASS"
"security.identity_intelligence","security","high","True","False","0","","","PASS"
"security.incident_response","security","high","True","False","0","","","PASS"
"security.privacy_management","security","high","True","False","0","","","PASS"
"security.threat_intelligence","security","high","True","False","0","","","PASS"
"security.trust_ledger_expansion","security","high","True","False","0","","","PASS"
"security.vulnerability_intelligence","security","high","True","False","0","","","PASS"
"space.aerospace_test_labs","space","high","True","False","0","","","PASS"
"space.aviation_systems","space","high","True","False","0","","","PASS"
"space.flight_data_intelligence","space","high","True","False","0","","","PASS"
"space.ground_stations","space","high","True","False","0","","","PASS"
"space.launch_tracking","space","high","True","False","0","","","PASS"
"space.mission_planning","space","high","True","False","0","","","PASS"
"space.orbital_analysis","space","high","True","False","0","","","PASS"
"space.rover_systems","space","high","True","False","0","","","PASS"
"space.satellite_intelligence","space","high","True","False","0","","","PASS"
"space.spacecraft_systems","space","high","True","False","0","","","PASS"
"space.uas_uav_systems","space","high","True","False","0","","","PASS"
"trust.fake_review_filter","trust","high","True","False","0","","","PASS"
"trust.feature_gap_analysis","trust","high","True","False","0","","","PASS"
"trust.user_complaint_analysis","trust","high","True","False","0","","","PASS"
"trust.vetted_feature_reviews","trust","high","True","False","0","","","PASS"
"visual_studio.affinity_like_pro_editing","visual_studio","high","True","False","0","","","PASS"
"visual_studio.canva_like_design","visual_studio","high","True","False","0","","","PASS"
"visual_studio.capcut_like_media_handoff","visual_studio","high","True","False","0","","","PASS"
"visual_studio.figma_like_collaboration","visual_studio","high","True","False","0","","","PASS"
"visual_studio.gimp_like_open_tools","visual_studio","high","True","False","0","","","PASS"
"visual_studio.lightroom_like_adjustments","visual_studio","high","True","False","0","","","PASS"
"visual_studio.photoshop_like_precision","visual_studio","high","True","False","0","","","PASS"
"visual_studio.picsart_like_social_editing","visual_studio","high","True","False","0","","","PASS"
"visual_studio.snapseed_like_mobile_editing","visual_studio","high","True","False","0","","","PASS"
